condition,formula,formal_order,interval_index,effective_order,geometric_mean_time,left_time,right_time,roundoff_risk,sign_reversal,classification
active_equilibrium,yoshida4,4,0,3.9999246773538957,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_equilibrium,yoshida4,4,1,3.9997935273109717,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
active_equilibrium,yoshida4,4,2,3.999168401131851,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_stretch150,yoshida4,4,0,3.9988533043887826,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_stretch150,yoshida4,4,1,4.000099410258498,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
active_stretch150,yoshida4,4,2,3.998876798199219,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_equilibrium,yoshida4,4,0,3.997288812018874,0.010606601717798213,0.0075,0.015,False,False,within_formal_order_tolerance
full_equilibrium,yoshida4,4,1,3.9885620009664686,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_equilibrium,yoshida4,4,2,3.9537798174004863,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_stretch150,yoshida4,4,0,3.9968300255064992,0.010606601717798213,0.0075,0.015,False,False,within_formal_order_tolerance
full_stretch150,yoshida4,4,1,3.988791906515065,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_stretch150,yoshida4,4,2,3.954788606296641,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_equilibrium,paper_new4,4,0,3.9139324401731352,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_equilibrium,paper_new4,4,1,4.002583161014004,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_equilibrium,paper_new4,4,2,3.999876734808372,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_stretch150,paper_new4,4,0,3.8140543573975427,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_stretch150,paper_new4,4,1,3.9812895855628074,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_stretch150,paper_new4,4,2,3.9994098449537803,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_equilibrium,paper_new4,4,0,3.997873251107699,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_equilibrium,paper_new4,4,1,3.9758874875928414,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_equilibrium,paper_new4,4,2,3.8933053903045387,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_stretch150,paper_new4,4,0,3.9846945807013996,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_stretch150,paper_new4,4,1,3.977383917192371,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_stretch150,paper_new4,4,2,3.9029100147814106,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_equilibrium,m5_best,4,0,3.3923174227787762,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_equilibrium,m5_best,4,1,3.9960586973004286,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_equilibrium,m5_best,4,2,4.007849564939303,0.042426406871192854,0.03,0.06,True,False,numerical_floor_or_unreliable
active_stretch150,m5_best,4,0,1.834576390792671,0.010606601717798213,0.0075,0.015,True,True,sign_reversal_or_cancellation
active_stretch150,m5_best,4,1,3.7393232146946502,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_stretch150,m5_best,4,2,4.074937297110142,0.042426406871192854,0.03,0.06,True,False,numerical_floor_or_unreliable
full_equilibrium,m5_best,4,0,3.4401638122698968,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_equilibrium,m5_best,4,1,3.9619404613969977,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
full_equilibrium,m5_best,4,2,3.9390550646356624,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_stretch150,m5_best,4,0,5.493539472957571,0.010606601717798213,0.0075,0.015,True,True,sign_reversal_or_cancellation
full_stretch150,m5_best,4,1,4.204525437995628,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
full_stretch150,m5_best,4,2,3.9419436125815857,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_equilibrium,two_term_center,4,0,4.059482424030492,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_equilibrium,two_term_center,4,1,3.9974593626188644,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_equilibrium,two_term_center,4,2,4.000106525056654,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_stretch150,two_term_center,4,0,4.274065442958085,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_stretch150,two_term_center,4,1,3.9926224822652236,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_stretch150,two_term_center,4,2,4.000493009963094,0.042426406871192854,0.03,0.06,True,False,numerical_floor_or_unreliable
full_equilibrium,two_term_center,4,0,3.9908998883064286,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_equilibrium,two_term_center,4,1,3.9966764426631998,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_equilibrium,two_term_center,4,2,3.9860983158962666,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_stretch150,two_term_center,4,0,4.128200823022287,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_stretch150,two_term_center,4,1,3.9938506246915786,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_stretch150,two_term_center,4,2,3.9865719018096355,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_equilibrium,joint_refine_r0_s0046,4,0,4.002112376147692,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_equilibrium,joint_refine_r0_s0046,4,1,3.9994849933891934,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
active_equilibrium,joint_refine_r0_s0046,4,2,3.9996592768709376,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_stretch150,joint_refine_r0_s0046,4,0,4.020976717225649,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_stretch150,joint_refine_r0_s0046,4,1,4.005113402086941,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_stretch150,joint_refine_r0_s0046,4,2,3.9997343245690886,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_equilibrium,joint_refine_r0_s0046,4,0,3.998282075324439,0.010606601717798213,0.0075,0.015,False,False,within_formal_order_tolerance
full_equilibrium,joint_refine_r0_s0046,4,1,3.995346945502708,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_equilibrium,joint_refine_r0_s0046,4,2,3.9810939570407458,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_stretch150,joint_refine_r0_s0046,4,0,3.9892552467577667,0.010606601717798213,0.0075,0.015,False,False,within_formal_order_tolerance
full_stretch150,joint_refine_r0_s0046,4,1,3.995393219170649,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_stretch150,joint_refine_r0_s0046,4,2,3.98149442826106,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
active_equilibrium,yoshida6_m3,6,0,2.6629650127224442,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_equilibrium,yoshida6_m3,6,1,4.67391342363089,0.021213203435596427,0.015,0.03,True,True,sign_reversal_or_cancellation
active_equilibrium,yoshida6_m3,6,2,5.94199445615237,0.042426406871192854,0.03,0.06,True,False,numerical_floor_or_unreliable
active_stretch150,yoshida6_m3,6,0,-0.09114788805819954,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
active_stretch150,yoshida6_m3,6,1,2.4422223286050744,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
active_stretch150,yoshida6_m3,6,2,5.696327731648792,0.042426406871192854,0.03,0.06,True,False,numerical_floor_or_unreliable
full_equilibrium,yoshida6_m3,6,0,5.969916469611707,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_equilibrium,yoshida6_m3,6,1,5.974350095308204,0.021213203435596427,0.015,0.03,False,False,within_formal_order_tolerance
full_equilibrium,yoshida6_m3,6,2,5.9017139995600845,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
full_stretch150,yoshida6_m3,6,0,5.474060572220294,0.010606601717798213,0.0075,0.015,True,False,numerical_floor_or_unreliable
full_stretch150,yoshida6_m3,6,1,5.95217127048473,0.021213203435596427,0.015,0.03,True,False,numerical_floor_or_unreliable
full_stretch150,yoshida6_m3,6,2,5.905899230232404,0.042426406871192854,0.03,0.06,False,False,within_formal_order_tolerance
