condition,formula,first_interval_index,last_interval_index,t_start,t_stop,number_of_consecutive_intervals,tau_ranges
active_equilibrium,yoshida4,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.04448405023550944, ""stop"": 0.17793620094203777}, ""lambda_group_half_width_sum"": {""start"": 0.27709287937256594, ""stop"": 1.1083715174902637}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5120868032654676, ""stop"": 2.0483472130618705}}"
active_stretch150,yoshida4,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.02906933809206015, ""stop"": 0.1162773523682406}, ""lambda_group_half_width_sum"": {""start"": 0.2900976288160848, ""stop"": 1.1603905152643392}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5238481099520255, ""stop"": 2.095392439808102}}"
full_equilibrium,yoshida4,0,2,0.0075,0.06,3,"{""lambda_h_sector_centered_half_width"": {""start"": 0.14578015306899014, ""stop"": 1.1662412245519211}, ""lambda_group_half_width_sum"": {""start"": 0.31761580662688477, ""stop"": 2.540926453015078}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5602628840372147, ""stop"": 4.4821030722977175}}"
full_stretch150,yoshida4,0,2,0.0075,0.06,3,"{""lambda_h_sector_centered_half_width"": {""start"": 0.14116260628974095, ""stop"": 1.1293008503179276}, ""lambda_group_half_width_sum"": {""start"": 0.327368662426783, ""stop"": 2.618949299414264}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5591194450892095, ""stop"": 4.472955560713676}}"
full_equilibrium,paper_new4,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.2915603061379803, ""stop"": 1.1662412245519211}, ""lambda_group_half_width_sum"": {""start"": 0.6352316132537695, ""stop"": 2.540926453015078}, ""lambda_pauli_nonidentity_l1"": {""start"": 1.1205257680744294, ""stop"": 4.4821030722977175}}"
full_stretch150,paper_new4,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.2823252125794819, ""stop"": 1.1293008503179276}, ""lambda_group_half_width_sum"": {""start"": 0.654737324853566, ""stop"": 2.618949299414264}, ""lambda_pauli_nonidentity_l1"": {""start"": 1.118238890178419, ""stop"": 4.472955560713676}}"
full_equilibrium,two_term_center,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.2915603061379803, ""stop"": 1.1662412245519211}, ""lambda_group_half_width_sum"": {""start"": 0.6352316132537695, ""stop"": 2.540926453015078}, ""lambda_pauli_nonidentity_l1"": {""start"": 1.1205257680744294, ""stop"": 4.4821030722977175}}"
full_stretch150,two_term_center,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.2823252125794819, ""stop"": 1.1293008503179276}, ""lambda_group_half_width_sum"": {""start"": 0.654737324853566, ""stop"": 2.618949299414264}, ""lambda_pauli_nonidentity_l1"": {""start"": 1.118238890178419, ""stop"": 4.472955560713676}}"
active_equilibrium,joint_refine_r0_s0046,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.04448405023550944, ""stop"": 0.17793620094203777}, ""lambda_group_half_width_sum"": {""start"": 0.27709287937256594, ""stop"": 1.1083715174902637}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5120868032654676, ""stop"": 2.0483472130618705}}"
full_equilibrium,joint_refine_r0_s0046,0,2,0.0075,0.06,3,"{""lambda_h_sector_centered_half_width"": {""start"": 0.14578015306899014, ""stop"": 1.1662412245519211}, ""lambda_group_half_width_sum"": {""start"": 0.31761580662688477, ""stop"": 2.540926453015078}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5602628840372147, ""stop"": 4.4821030722977175}}"
full_stretch150,joint_refine_r0_s0046,0,2,0.0075,0.06,3,"{""lambda_h_sector_centered_half_width"": {""start"": 0.14116260628974095, ""stop"": 1.1293008503179276}, ""lambda_group_half_width_sum"": {""start"": 0.327368662426783, ""stop"": 2.618949299414264}, ""lambda_pauli_nonidentity_l1"": {""start"": 0.5591194450892095, ""stop"": 4.472955560713676}}"
full_equilibrium,yoshida6_m3,1,2,0.015,0.06,2,"{""lambda_h_sector_centered_half_width"": {""start"": 0.2915603061379803, ""stop"": 1.1662412245519211}, ""lambda_group_half_width_sum"": {""start"": 0.6352316132537695, ""stop"": 2.540926453015078}, ""lambda_pauli_nonidentity_l1"": {""start"": 1.1205257680744294, ""stop"": 4.4821030722977175}}"
