formula,scale,condition_coverage,condition_ranges,common_intersection,log_center_variance,mean_log_width,status
yoshida4,absolute_time,4,"{""active_equilibrium"": {""start"": 0.015, ""stop"": 0.06}, ""active_stretch150"": {""start"": 0.015, ""stop"": 0.06}, ""full_equilibrium"": {""start"": 0.0075, ""stop"": 0.06}, ""full_stretch150"": {""start"": 0.0075, ""stop"": 0.06}}","[0.015, 0.06]",0.030028313369887597,1.732867951399863,four_condition_comparison
yoshida4,lambda_h_sector_centered_half_width,4,"{""active_equilibrium"": {""start"": 0.04448405023550944, ""stop"": 0.17793620094203777}, ""active_stretch150"": {""start"": 0.02906933809206015, ""stop"": 0.1162773523682406}, ""full_equilibrium"": {""start"": 0.14578015306899014, ""stop"": 1.1662412245519211}, ""full_stretch150"": {""start"": 0.14116260628974095, ""stop"": 1.1293008503179276}}",,0.7711292019048983,1.732867951399863,four_condition_comparison
yoshida4,lambda_group_half_width_sum,4,"{""active_equilibrium"": {""start"": 0.27709287937256594, ""stop"": 1.1083715174902637}, ""active_stretch150"": {""start"": 0.2900976288160848, ""stop"": 1.1603905152643392}, ""full_equilibrium"": {""start"": 0.31761580662688477, ""stop"": 2.540926453015078}, ""full_stretch150"": {""start"": 0.327368662426783, ""stop"": 2.618949299414264}}","[0.327368662426783, 1.1083715174902637]",0.056843682913239324,1.732867951399863,four_condition_comparison
yoshida4,lambda_pauli_nonidentity_l1,4,"{""active_equilibrium"": {""start"": 0.5120868032654676, ""stop"": 2.0483472130618705}, ""active_stretch150"": {""start"": 0.5238481099520255, ""stop"": 2.095392439808102}, ""full_equilibrium"": {""start"": 0.5602628840372147, ""stop"": 4.4821030722977175}, ""full_stretch150"": {""start"": 0.5591194450892095, ""stop"": 4.472955560713676}}","[0.5602628840372147, 2.0483472130618705]",0.04503235151135841,1.732867951399863,four_condition_comparison
paper_new4,absolute_time,2,"{""full_equilibrium"": {""start"": 0.015, ""stop"": 0.06}, ""full_stretch150"": {""start"": 0.015, ""stop"": 0.06}}","[0.015, 0.06]",0.0,1.3862943611198906,insufficient_four_condition_coverage
paper_new4,lambda_h_sector_centered_half_width,2,"{""full_equilibrium"": {""start"": 0.2915603061379803, ""stop"": 1.1662412245519211}, ""full_stretch150"": {""start"": 0.2823252125794819, ""stop"": 1.1293008503179276}}","[0.2915603061379803, 1.1293008503179276]",0.00025900434630153846,1.3862943611198906,insufficient_four_condition_coverage
paper_new4,lambda_group_half_width_sum,2,"{""full_equilibrium"": {""start"": 0.6352316132537695, ""stop"": 2.540926453015078}, ""full_stretch150"": {""start"": 0.654737324853566, ""stop"": 2.618949299414264}}","[0.654737324853566, 2.540926453015078]",0.0002286816401386381,1.3862943611198906,insufficient_four_condition_coverage
paper_new4,lambda_pauli_nonidentity_l1,2,"{""full_equilibrium"": {""start"": 1.1205257680744294, ""stop"": 4.4821030722977175}, ""full_stretch150"": {""start"": 1.118238890178419, ""stop"": 4.472955560713676}}","[1.1205257680744294, 4.472955560713676]",1.0434445400983615e-06,1.3862943611198906,insufficient_four_condition_coverage
m5_best,absolute_time,0,{},,,,insufficient_four_condition_coverage
m5_best,lambda_h_sector_centered_half_width,0,{},,,,insufficient_four_condition_coverage
m5_best,lambda_group_half_width_sum,0,{},,,,insufficient_four_condition_coverage
m5_best,lambda_pauli_nonidentity_l1,0,{},,,,insufficient_four_condition_coverage
two_term_center,absolute_time,2,"{""full_equilibrium"": {""start"": 0.015, ""stop"": 0.06}, ""full_stretch150"": {""start"": 0.015, ""stop"": 0.06}}","[0.015, 0.06]",0.0,1.3862943611198906,insufficient_four_condition_coverage
