branch_quality,branch_selection_disagrees_with_comparator,degenerate_subspace_projector_overlap_probability,direct_cost,direct_error_hartree,eigenpair_residual_2_norm,ground_state_overlap_probability,maximum_ground_overlap_comparator_id,minimum_selected_phase_gap_radians,peak_cpu_rss_kib,phase_cluster_size,phase_unwrap_integer,previous_branch_overlap_probability,selected_eigenbranch_id,selected_eigenvalue,selected_eigenvalue_magnitude,selection_rule,signed_direct_shift_hartree,time,timing_seconds,unitarity_residual_frobenius,condition,formula,point_role,time_factor,source_signed_direct_shift_hartree,source_reproduction_absolute_difference_hartree,new_direct_truth_coordinate
resolved,False,0.999999990970031,284912830.6890408,1.8207076351229796e-05,9.244079385997507e-15,0.999999990970031,1,0.17774057199953336,968648,1,0,0.999999990970031,1,"{'imag': 0.041980837514889735, 'real': -0.9991184160456351}",0.9999999999999952,maximum exact-ground overlap at saved lower anchor,-1.8207076351229796e-05,0.5721861616352092,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 4.2122564050368965, 'cpu_component_gate_materialization_seconds': 0.3662292854860425, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.12186072720214725, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 20, 'peak_increment_mib': 681, 'physical_gpu_id': 0, 'samples': 6}, 'gpu_transfer_sparse_multiply_seconds': 0.6677111198659986, 'output_transfer_seconds': 0.010457779979333282, 'physical_gpu_id': 0, 'schur': 9.009028078056872, 'total': 14.463944694958627, 'unique_s2_stage_count': 4, 'unitarity': 0.8847662070766091}",7.24293171195271e-12,N2_active_eq_sto3g,current_m3,saved_lower_anchor_recomputation,0.9563208273586452,-1.820707635382499e-05,2.5951937539063497e-15,False
resolved,False,0.9999999997649784,280505860.6234459,2.0866827099436395e-05,5.491055251818396e-15,0.9999999878240589,1,0.1840008647609514,1007216,1,0,0.9999999997649784,1,"{'imag': 0.15350317953441378, 'real': -0.9881481538073211}",0.9999999999999958,maximum previous-selected-vector overlap from saved lower anchor,-2.0866827099436395e-05,0.592337094219133,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8370204498060048, 'cpu_component_gate_materialization_seconds': 0.36459513544104993, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015820819651708007, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.43447546078823507, 'output_transfer_seconds': 0.01071301894262433, 'physical_gpu_id': 0, 'schur': 9.081922493176535, 'total': 10.830577387008816, 'unique_s2_stage_count': 4, 'unitarity': 0.8771371350158006}",7.1589047834468845e-12,N2_active_eq_sto3g,current_m3,inserted_exact_time_triplet,0.99,,,True
resolved,False,0.9999999999757936,279399598.0082803,2.1708888669736095e-05,9.573528189442346e-15,0.9999999867150919,6,0.18585969118722898,1007216,1,0,0.9999999999757936,6,"{'imag': 0.18630795279914356, 'real': -0.9824913977861464}",0.9999999999999918,maximum previous-selected-vector overlap from saved lower anchor,-2.1708888669736095e-05,0.5983202971910435,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8560969259124249, 'cpu_component_gate_materialization_seconds': 0.37350228941068053, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015861419029533863, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.441505616530776, 'output_transfer_seconds': 0.010899178916588426, 'physical_gpu_id': 0, 'schur': 9.065078587969765, 'total': 10.834461502032354, 'unique_s2_stage_count': 4, 'unitarity': 0.8774349228478968}",7.347416424211288e-12,N2_active_eq_sto3g,current_m3,inserted_exact_time_triplet,1.0,,,True
resolved,False,0.9999999999740061,278386327.5736235,2.2575709187267146e-05,5.935258144748955e-15,0.9999999855151889,2,0.18771852919080062,1007224,1,0,0.9999999999740061,2,"{'imag': 0.21890629295743796, 'real': -0.9757458864395074}",0.9999999999999939,maximum previous-selected-vector overlap from saved lower anchor,-2.2575709187267146e-05,0.604303500162954,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8595061718951911, 'cpu_component_gate_materialization_seconds': 0.37366973189637065, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015808070078492165, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.4463330111466348, 'output_transfer_seconds': 0.010853559011593461, 'physical_gpu_id': 0, 'schur': 9.054551977198571, 'total': 10.824925063177943, 'unique_s2_stage_count': 4, 'unitarity': 0.8765180150512606}",7.476586317174667e-12,N2_active_eq_sto3g,current_m3,inserted_exact_time_triplet,1.01,,,True
resolved,False,0.9999999957876051,185923483.44910645,7.6298376182411e-06,1.4041531509230305e-14,0.9999999957876051,19,0.031898193772267734,1008536,1,0,0.9999999957876051,19,"{'imag': 0.06077694163387249, 'real': -0.9981513729718124}",0.9999999999999407,maximum exact-ground overlap at saved lower anchor,-7.6298376182411e-06,0.806176425611238,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8738588658161461, 'cpu_component_gate_materialization_seconds': 0.3796915295533836, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.01574394037015736, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.4561570619698614, 'output_transfer_seconds': 0.010576741071417928, 'physical_gpu_id': 0, 'schur': 8.954426851123571, 'total': 10.730107343988493, 'unique_s2_stage_count': 4, 'unitarity': 0.8785048259887844}",7.589158771088316e-12,N2_active_stretch150_sto3g,current_m3,saved_lower_anchor_recomputation,0.9708775831444778,-7.629837623827291e-06,5.586190757471583e-15,False
resolved,False,0.9999999999683333,183065053.36917353,8.237196135521127e-06,1.0339332084324124e-14,0.9999999950270482,17,0.03252669041934374,1008548,1,0,0.9999999999683333,17,"{'imag': 0.12357288987016074, 'real': -0.992335498150199}",0.9999999999999332,maximum previous-selected-vector overlap from saved lower anchor,-8.237196135521127e-06,0.8220548864360349,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8493986749090254, 'cpu_component_gate_materialization_seconds': 0.364662345033139, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015681402292102575, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.4443333756644279, 'output_transfer_seconds': 0.01330218999646604, 'physical_gpu_id': 0, 'schur': 8.82727955118753, 'total': 10.583502334076911, 'unique_s2_stage_count': 4, 'unitarity': 0.8728936349507421}",7.522788379525806e-12,N2_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,0.99,,,True
resolved,False,0.9999999999904152,181632703.25691193,8.568591745727244e-06,1.3628965377566166e-14,0.9999999945817672,19,0.03285536938876463,1008552,1,0,0.9999999999904152,19,"{'imag': 0.15623186769871747, 'real': -0.9877204075624045}",0.999999999999936,maximum previous-selected-vector overlap from saved lower anchor,-8.568591745727244e-06,0.8303584711475099,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8455545378383249, 'cpu_component_gate_materialization_seconds': 0.361836469033733, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015763860661536455, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.4459943550173193, 'output_transfer_seconds': 0.010542989941313863, 'physical_gpu_id': 0, 'schur': 8.855176775017753, 'total': 10.61344526684843, 'unique_s2_stage_count': 4, 'unitarity': 0.8767682579346001}",7.609996546863851e-12,N2_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,1.0,,,True
resolved,False,0.9999999999897313,180242059.843899,8.90967578038864e-06,1.1188869724564927e-14,0.9999999941006275,22,0.033184054692431686,1008644,1,0,0.9999999999897313,22,"{'imag': 0.18872089302907588, 'real': -0.9820307655741645}",0.9999999999999357,maximum previous-selected-vector overlap from saved lower anchor,-8.90967578038864e-06,0.838662055858985,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 0.8604398099705577, 'cpu_component_gate_materialization_seconds': 0.37222133483737707, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015758111840113997, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 4}, 'gpu_transfer_sparse_multiply_seconds': 0.4471273629460484, 'output_transfer_seconds': 0.010549829807132483, 'physical_gpu_id': 0, 'schur': 8.883869137149304, 'total': 10.652583714807406, 'unique_s2_stage_count': 4, 'unitarity': 0.8739577368833125}",7.630386897164894e-12,N2_active_stretch150_sto3g,current_m3,inserted_exact_time_triplet,1.01,,,True
resolved,False,0.9999999892661711,543095969.0145082,1.7153767677641613e-05,1.1782256179661145e-14,0.9999999892661711,9,0.1978083547586001,1008780,1,0,0.9999999892661711,9,"{'imag': 0.32426378204063777, 'real': -0.9459667011351528}",0.9999999999999108,maximum exact-ground overlap at saved lower anchor,-1.7153767677641613e-05,0.5894372011255475,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 1.1979211871512234, 'cpu_component_gate_materialization_seconds': 0.5557249952107668, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015704361721873283, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 5}, 'gpu_transfer_sparse_multiply_seconds': 0.6003444637171924, 'output_transfer_seconds': 0.010486539918929338, 'physical_gpu_id': 0, 'schur': 8.882802562089637, 'total': 10.976107162889093, 'unique_s2_stage_count': 4, 'unitarity': 0.8726640189997852}",9.2077362273854e-12,CO_active_eq_sto3g,current_m3,saved_lower_anchor_recomputation,0.9619567285176652,-1.704962647115975e-05,1.0414120648186197e-07,False
resolved,False,0.9999999998042135,535454523.9734022,1.921004618091456e-05,1.1321149670700609e-14,0.9999999861811286,11,0.20357518768859822,1008780,1,0,0.9999999998042135,11,"{'imag': 0.4181850828975078, 'real': -0.9083618422422922}",0.9999999999999032,maximum previous-selected-vector overlap from saved lower anchor,-1.921004618091456e-05,0.6066206637106296,"{'backend': 'gpu_component_sector_dense_final_cpu_schur', 'build_seconds': 1.1776952429208905, 'cpu_component_gate_materialization_seconds': 0.5428345114924014, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_dense_multiply_seconds': 0.015688640996813774, 'gpu_memory': {'maximum_used_mib': 701, 'minimum_used_mib': 587, 'peak_increment_mib': 114, 'physical_gpu_id': 0, 'samples': 5}, 'gpu_transfer_sparse_multiply_seconds': 0.5957838618196547, 'output_transfer_seconds': 0.010576511034741998, 'physical_gpu_id': 0, 'schur': 8.896913826931268, 'total': 10.983816719148308, 'unique_s2_stage_count': 4, 'unitarity': 0.87410654197447}",9.07242408375846e-12,CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,0.99,,,True
