condition,formula,state_role,point_role,relative_to_full_cisd_t_ana,relative_to_proxy_t_ana,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
N2_active_eq_sto3g,current_m3,full_cisd,model_training,0.1,0.1,0.06263494343795273,0.9999999999999994,-1.998906040689974e-10,-3.1913592173514536e-09,2.707860034503511e-09,1.998906040689974e-10,0.07381866179270509,0.9999999999999994,0.9999999999999999,0.15858364081941545,0.005127906100824475,0.1641833260655403
N2_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.1,,0.06263494343795273,0.9999999999999999,-4.57479221172008e-10,-7.303897729630664e-09,2.7264502459033586e-09,,0.16779298351744937,0.9999999999999997,1.0,0.15357486391440034,0.004615898709744215,0.15855444967746735
N2_active_eq_sto3g,current_m3,full_cisd,model_training,0.2,0.2,0.12526988687590546,0.9999999999999958,-6.4282578149388314e-09,-5.131526798061833e-08,8.647680484024466e-08,6.4282578149388314e-09,0.07433505235090788,0.9999999999999994,1.0,0.15924411895684898,0.005575604969635606,0.16537247179076076
N2_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.2,,0.12526988687590546,0.9999999999999967,-1.4478328980160882e-08,-1.1557708992348152e-07,8.704471115424653e-08,,0.16633209287701275,1.0000000000000004,1.0,0.13528314791619778,0.004762288182973862,0.1404319340363145
N2_active_eq_sto3g,current_m3,full_cisd,model_training,0.3,0.3,0.18790483031385818,0.9999999999997853,-4.919614543519302e-08,-2.6181416067389273e-07,6.54473366394015e-07,4.919614543519302e-08,0.07516905646787661,0.9999999999999996,0.9999999999999999,0.1601584458258003,0.006007894175127149,0.16666094795800745
N2_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.3,,0.18790483031385818,0.9999999999997857,-1.0792882260135528e-07,-5.74380245686507e-07,6.5845177745942e-07,,0.1639130249109349,1.0000000000000022,1.0,0.13545230589807034,0.005142375826835632,0.14098382089287043
N2_active_eq_sto3g,current_m3,full_cisd,selection_diagnostic,0.5,0.5,0.31317471718976364,0.9999999999653406,-6.46269019244361e-07,-2.0636053415920026e-06,8.325814681553513e-06,6.46269019244361e-07,0.07762231612916151,1.0000000000000002,0.9999999999999999,0.1621642408426851,0.00668389187194407,0.16936551104299724
N2_active_eq_sto3g,current_m3,truncated_cisd,state_convergence_diagnostic,0.5,,0.31317471718976364,0.9999999999650225,-1.3073117390016709e-06,-4.17438467170236e-06,8.36397683315401e-06,,0.15630264945493527,1.0000000000000004,1.0,0.13561737583950162,0.005660983733832836,0.14166083792224526
N2_active_eq_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.15,,0.09395241515692909,1.0000000000000029,-1.5210955273126103e-09,-1.6190063073651895e-08,2.054553498126563e-08,,0.07403533316117665,1.0000000000000029,1.0,0.1353364670649171,0.004563648719340563,0.1402770052663982
N2_active_eq_sto3g,current_m3,full_cisd,equal_cost_extra_training,0.25,,0.15658735859488182,0.999999999999958,-1.9687745711483018e-08,-1.2573010930223666e-07,2.635065301107326e-07,,0.07471445092161356,0.9999999999999928,0.9999999999999998,0.13534128805622458,0.004900307860225439,0.14062437415122986
