condition,evaluation_group,formula,retained_squared_norm_threshold,retained_coefficient_count,total_coefficient_count,retained_fraction,pre_normalization_retained_squared_norm,fine_state_sha256,coarse_state_sha256,sort_rule,hamiltonian_used_for_truncation,primary_score,risk_threshold,maximum_absolute_proxy_difference_hartree,signed_proxy_differences_hartree,sign_noise_floor_hartree,sign_mismatch_by_point,magnitude_risk,sign_risk,state_risk
N2_active_eq_sto3g,primary,current_m3,0.99,19,1568,0.01211734693877551,0.9902645539688812,914a72a4e1c1aa97e57e80c2695e88186909016e22fce66cc7bc1f35c9028230,d04c99e8bf2ab6c5d7dd517be6085ba29de2bd882a20986d1e73e03ef89697dc,descending_absolute_coefficient_then_restricted_basis_index,False,0.013245351374375557,0.05,2.1107793301103573e-06,"[4.11253851227921e-09, 6.42618219428632e-08, 3.125660850126143e-07, 2.1107793301103573e-06]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
N2_active_eq_sto3g,primary,yoshida4,0.99,19,1568,0.01211734693877551,0.9902645539688812,914a72a4e1c1aa97e57e80c2695e88186909016e22fce66cc7bc1f35c9028230,d04c99e8bf2ab6c5d7dd517be6085ba29de2bd882a20986d1e73e03ef89697dc,descending_absolute_coefficient_then_restricted_basis_index,False,0.00044407932550884243,0.05,7.076848584227194e-08,"[-1.1318507015919366e-10, -1.8112605812675247e-09, -9.170092526390145e-09, -7.076848584227194e-08]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
N2_active_stretch150_sto3g,primary,current_m3,0.99,32,1568,0.02040816326530612,0.99039897969578,f46ab93215e5662e9323dd855c5aff32142b0441f9a75c04b4cf0fa54e9570c9,36ea2b0603bd0e0677a2255439c09dbee832f5c141737b185c9b42bbd5ba514c,descending_absolute_coefficient_then_restricted_basis_index,False,0.007494029736035047,0.05,1.1942486551664542e-06,"[2.4961944407187287e-09, 3.8686986295865885e-08, 1.8555755011632365e-07, 1.1942486551664542e-06]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
N2_active_stretch150_sto3g,primary,yoshida4,0.99,32,1568,0.02040816326530612,0.99039897969578,f46ab93215e5662e9323dd855c5aff32142b0441f9a75c04b4cf0fa54e9570c9,36ea2b0603bd0e0677a2255439c09dbee832f5c141737b185c9b42bbd5ba514c,descending_absolute_coefficient_then_restricted_basis_index,False,0.001879813152116028,0.05,2.995670430934998e-07,"[-4.824790903395403e-10, -7.713396260183029e-09, -3.899582576751965e-08, -2.995670430934998e-07]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
CO_active_eq_sto3g,primary,current_m3,0.99,29,1568,0.018494897959183673,0.9902390438448349,e0108eaa21b19a5858a07908b7a4265f31384581bc7e4421e5dc716b96be8b5a,ec831cef7ad7786a47961bb6d68ca7582385e969b565a36cdddba8aad322fe1d,descending_absolute_coefficient_then_restricted_basis_index,False,0.01304692436888893,0.05,2.0791580004922435e-06,"[4.176936685442762e-09, 6.503455484404357e-08, 3.143970503928594e-07, 2.0791580004922435e-06]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
CO_active_eq_sto3g,primary,yoshida4,0.99,29,1568,0.018494897959183673,0.9902390438448349,e0108eaa21b19a5858a07908b7a4265f31384581bc7e4421e5dc716b96be8b5a,ec831cef7ad7786a47961bb6d68ca7582385e969b565a36cdddba8aad322fe1d,descending_absolute_coefficient_then_restricted_basis_index,False,9.848828198752695e-05,0.05,1.5695093622018224e-08,"[-2.4458730376536404e-11, -3.928245618095237e-10, -1.9995645360658687e-09, -1.5695093622018224e-08]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
CO_active_stretch150_sto3g,primary,current_m3,0.99,41,1568,0.02614795918367347,0.9901643188866383,68ba2033a0734b8ddaa926f9335183a023016c7bb4ae3cd02f41c43d3fbd5ee8,f1d285921cedacea648b86128c5eec06f140d471383b4a20d29fd7579d0c6fd7,descending_absolute_coefficient_then_restricted_basis_index,False,0.002195647743421487,0.05,3.4989844678514735e-07,"[7.396113518924293e-10, 1.1480642042298774e-08, 5.510607038401155e-08, 3.4989844678514735e-07]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
CO_active_stretch150_sto3g,primary,yoshida4,0.99,41,1568,0.02614795918367347,0.9901643188866383,68ba2033a0734b8ddaa926f9335183a023016c7bb4ae3cd02f41c43d3fbd5ee8,f1d285921cedacea648b86128c5eec06f140d471383b4a20d29fd7579d0c6fd7,descending_absolute_coefficient_then_restricted_basis_index,False,0.0009485297082773132,0.05,1.5115770398516509e-07,"[-2.432920489677507e-10, -3.889805671788307e-09, -1.9667443276570504e-08, -1.5115770398516509e-07]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
HF_full_eq_sto3g,stress_test,current_m3,0.99,2,20,0.1,0.9967557876523007,7d50e0168e128913a7a507998eb7eb46288c5946c32c7f61898ef7d87b5cfdd5,3df137bdb7a53c5e9c444cd3fbcf1efcb54942b28589b0178c1654721466b58a,descending_absolute_coefficient_then_restricted_basis_index,False,0.009109744889477033,0.05,1.4517290384977126e-06,"[7.36428910180482e-09, 1.4027751796919853e-09, -4.2310126670275826e-07, -1.4517290384977126e-06]",1.5936001019904e-10,"[False, False, True, False]",False,True,True
HF_full_eq_sto3g,stress_test,yoshida4,0.99,2,20,0.1,0.9967557876523007,7d50e0168e128913a7a507998eb7eb46288c5946c32c7f61898ef7d87b5cfdd5,3df137bdb7a53c5e9c444cd3fbcf1efcb54942b28589b0178c1654721466b58a,descending_absolute_coefficient_then_restricted_basis_index,False,0.0016964615677879495,0.05,2.7034813274496705e-07,"[5.07412592643188e-10, 7.958021287171348e-09, 3.89665767497158e-08, 2.7034813274496705e-07]",1.5936001019904e-10,"[False, False, False, False]",False,False,False
