condition,formula,point_role,new_direct_truth_coordinate,minimum_inserted_time,uniform_anchor_time_factor,source_truth_provenance,source_signed_direct_shift_hartree,source_reproduction_absolute_difference_hartree,time,signed_direct_shift_hartree,direct_error_hartree,direct_cost,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,minimum_selected_phase_gap_radians,phase_cluster_size,branch_quality,selected_eigenvalue,selected_eigenvalue_magnitude,eigenpair_residual_2_norm,unitarity_residual_frobenius,selected_eigenbranch_id,maximum_ground_overlap_comparator_id,branch_selection_disagrees_with_comparator,phase_unwrap_integer,selection_rule,timing_seconds,peak_cpu_rss_kib
CO_active_eq_sto3g,current_m3,new_uniform_lower_anchor,True,0.3240668111066989,0.5,,,,0.16203340555334944,-1.0043895679119717e-07,1.0043895679119717e-07,1764097890.219684,0.9999999999997375,0.9999999999997375,0.9999999999997375,0.05437597352257017,1,resolved,"{'real': 0.5781104884193321, 'imag': -0.8159584935395608}",0.9999999999998941,8.600615195533584e-15,9.224005691898828e-12,9,9,False,0,maximum exact-ground overlap at preregistered new uniform lower anchor,"{'schur': 5.765697028953582, 'unitarity': 0.6230226662009954, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 3.985245409887284, 'cpu_component_gate_materialization_seconds': 0.3705583675764501, 'gpu_transfer_sparse_multiply_seconds': 0.7301885741762817, 'gpu_dense_multiply_seconds': 0.1022394485771656, 'output_transfer_seconds': 0.00810312433168292, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 6, 'minimum_used_mib': 21, 'maximum_used_mib': 701, 'peak_increment_mib': 680}, 'unique_s2_stage_count': 4, 'total': 10.622727090027183}",968236
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.3240668111066989,-1.5976596103634906e-06,1.5976596103634906e-06,890419902.3956096,0.9999999999289515,0.9999999999372806,0.9999999999372806,0.10875204820564295,1,resolved,"{'real': -0.3315769841098814, 'imag': -0.9434281655793346}",0.9999999999998965,9.203437746729633e-15,9.322172606419793e-12,10,10,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.934725282713771, 'unitarity': 0.6196473119780421, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8398547559045255, 'cpu_component_gate_materialization_seconds': 0.35981574235484004, 'gpu_transfer_sparse_multiply_seconds': 0.44724905118346214, 'gpu_dense_multiply_seconds': 0.015686017461121082, 'output_transfer_seconds': 0.00802065385505557, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.4215908870100975}",1006780
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.3273402132390898,-1.6629290885503798e-06,1.6629290885503798e-06,881880555.2101748,0.999999999922851,0.9999999999998661,0.9999999999998661,0.10985055819807361,1,resolved,"{'real': -0.34970402980589793, 'imag': -0.9368602305239009}",0.9999999999998905,1.0520103978573945e-14,9.229414343956427e-12,10,10,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.876686923671514, 'unitarity': 0.6198708489537239, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8399536060169339, 'cpu_component_gate_materialization_seconds': 0.3581780642271042, 'gpu_transfer_sparse_multiply_seconds': 0.44877568120136857, 'gpu_dense_multiply_seconds': 0.015672270208597183, 'output_transfer_seconds': 0.007973234169185162, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.364217305090278}",1006800
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.3306136153714807,-1.7301697413523843e-06,1.7301697413523843e-06,873521526.4849646,0.9999999999163156,0.9999999999998586,0.9999999999998586,0.11094906841550767,1,resolved,"{'real': -0.36770108188081585, 'imag': -0.9299440383074042}",0.9999999999999026,9.976689149319765e-15,9.166467152577194e-12,10,10,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.918984302319586, 'unitarity': 0.6199744087643921, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8378398260101676, 'cpu_component_gate_materialization_seconds': 0.35772650223225355, 'gpu_transfer_sparse_multiply_seconds': 0.4473192598670721, 'gpu_dense_multiply_seconds': 0.015632748138159513, 'output_transfer_seconds': 0.008077484089881182, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.404219741933048}",1006804
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.6066206637106296,-1.9210046177986413e-05,1.9210046177986413e-05,535454523.9622149,0.9999999861811173,0.9999999882403805,0.9999999882403805,0.20357518768859373,1,resolved,"{'real': -0.9083618422422866, 'imag': 0.41818508289750317}",0.9999999999998962,7.196251575115225e-15,9.072436421592065e-12,10,10,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.886318518314511, 'unitarity': 0.6201901575550437, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8436640882864594, 'cpu_component_gate_materialization_seconds': 0.36130826035514474, 'gpu_transfer_sparse_multiply_seconds': 0.4491663910448551, 'gpu_dense_multiply_seconds': 0.01568250870332122, 'output_transfer_seconds': 0.008244382683187723, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.377599440980703}",1006804
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.6127481451622522,-1.998541374786822e-05,1.998541374786822e-05,533049026.4168082,0.9999999848967339,0.9999999999712372,0.9999999999712372,0.20563160183991555,1,resolved,"{'real': -0.8926805160301139, 'imag': 0.4506900224100866}",0.9999999999998974,8.400562555673589e-15,9.189193094894e-12,9,9,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.889199394267052, 'unitarity': 0.6185903060249984, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8324431390501559, 'cpu_component_gate_materialization_seconds': 0.3533238279633224, 'gpu_transfer_sparse_multiply_seconds': 0.4467151751741767, 'gpu_dense_multiply_seconds': 0.01560738030821085, 'output_transfer_seconds': 0.007989533711224794, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.36733528599143}",1006804
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.6169259883038227,-2.052712109239916e-05,2.052712109239916e-05,531505001.7011309,0.9999999839586174,0.9999999999857381,0.9999999999857381,0.20703371020723205,1,resolved,"{'real': -0.8813207235511586, 'imag': 0.47251855226970857}",0.9999999999998995,8.127263106494852e-15,9.150437067025163e-12,9,9,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.897245306987315, 'unitarity': 0.6192410020157695, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8371170982718468, 'cpu_component_gate_materialization_seconds': 0.3571524121798575, 'gpu_transfer_sparse_multiply_seconds': 0.44682019716128707, 'gpu_dense_multiply_seconds': 0.01564626954495907, 'output_transfer_seconds': 0.008131353184580803, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.3809074140153825}",1006812
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.6188756266138747,-2.078357859977185e-05,2.078357859977185e-05,530811141.2492637,0.9999999835026249,0.9999999999967688,0.9999999999967688,0.2076880209177782,1,resolved,"{'real': -0.875836484292652, 'imag': 0.48260797007683887}",0.9999999999999,6.9177157560412206e-15,9.203745332504487e-12,9,9,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.8945168680511415, 'unitarity': 0.6193376323208213, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.83729810686782, 'cpu_component_gate_materialization_seconds': 0.35740590980276465, 'gpu_transfer_sparse_multiply_seconds': 0.44694826612249017, 'gpu_dense_multiply_seconds': 0.015635879710316658, 'output_transfer_seconds': 0.008256212808191776, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.378433472942561}",1006816
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.6231575639432553,-2.1355095299349217e-05,2.1355095299349217e-05,529346880.6113786,0.9999999824584708,0.9999999999838043,0.9999999999838043,0.20912506745369777,1,resolved,"{'real': -0.863387233454761, 'imag': 0.5045418566453355}",0.9999999999998941,9.921022739324326e-15,9.250003737893476e-12,9,9,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.910916983149946, 'unitarity': 0.6189865432679653, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8354274551384151, 'cpu_component_gate_materialization_seconds': 0.3562315031886101, 'gpu_transfer_sparse_multiply_seconds': 0.4465391389094293, 'gpu_dense_multiply_seconds': 0.015584738925099373, 'output_transfer_seconds': 0.008127222768962383, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.392627818044275}",1006820
CO_active_eq_sto3g,current_m3,inserted_exact_time_triplet,True,,,,,,0.6293891395826878,-2.2207374390859595e-05,2.2207374390859595e-05,527362664.16475123,0.9999999808283279,0.9999999999633014,0.9999999999633014,0.21121643004496787,1,resolved,"{'real': -0.8442906588840966, 'imag': 0.5358855132589845}",0.9999999999998936,8.377006988181826e-15,9.184708841718773e-12,10,10,False,0,maximum previous-selected-vector overlap from saved lower anchor,"{'schur': 5.940655527636409, 'unitarity': 0.6194927310571074, 'backend': 'gpu_component_sector_dense_final_cpu_schur', 'physical_gpu_id': 0, 'build_seconds': 0.8320979396812618, 'cpu_component_gate_materialization_seconds': 0.3528999532572925, 'gpu_transfer_sparse_multiply_seconds': 0.44651448586955667, 'gpu_dense_multiply_seconds': 0.015600490383803844, 'output_transfer_seconds': 0.008275561966001987, 'cupy_pool_peak_reserved_mib': 262.64892578125, 'gpu_memory': {'physical_gpu_id': 0, 'samples': 4, 'minimum_used_mib': 587, 'maximum_used_mib': 701, 'peak_increment_mib': 114}, 'unique_s2_stage_count': 4, 'total': 7.419262167066336}",1006824
