condition,reference,formula,time,cost,error
N2_active_eq_sto3g,original_two_pf_saved_grid,current_m3,0.6625313450512949,273562446.926076,3.239724946125446e-05
N2_active_eq_sto3g,expanded_with_inserted_points,current_m3,0.6625313450512949,273562446.926076,3.239724946125446e-05
N2_active_stretch150_sto3g,original_two_pf_saved_grid,current_m3,1.2408164760332248,147957576.27790663,3.548276646411064e-05
N2_active_stretch150_sto3g,expanded_with_inserted_points,current_m3,1.2408164760332248,147957576.27790663,3.548276646411064e-05
CO_active_eq_sto3g,original_two_pf_saved_grid,current_m3,0.6934555307359384,516598986.2848441,3.2284864365200195e-05
CO_active_eq_sto3g,expanded_with_inserted_points,current_m3,0.6934555307359384,516598986.2848441,3.2284864365200195e-05
CO_active_stretch150_sto3g,original_two_pf_saved_grid,current_m3,1.0818169269343512,338482010.43392205,3.5773392435613395e-05
CO_active_stretch150_sto3g,expanded_with_inserted_points,current_m3,1.0818169269343512,338482010.43392205,3.5773392435613395e-05
HF_full_eq_sto3g,original_two_pf_saved_grid,current_m3,0.31867286821641844,217857453.1696019,1.930278075587313e-06
HF_full_eq_sto3g,expanded_with_inserted_points,current_m3,0.31867286821641844,217857453.1696019,1.930278075587313e-06
HF_full_stretch150_sto3g,original_two_pf_saved_grid,current_m3,0.42904038927151034,160860033.9862181,9.954737558501484e-07
HF_full_stretch150_sto3g,expanded_with_inserted_points,current_m3,0.42904038927151034,160860033.9862181,9.954737558501484e-07
