condition,evaluation_group,strategy,selected_formula,selected_time,predicted_cost,predicted_error_hartree,additional_proxy_action_count,exact_time_direct_signed_shift_hartree,exact_time_direct_error_hartree,exact_time_direct_cost,original_joint_grid_best_formula,original_joint_grid_best_time,original_joint_grid_best_cost,expanded_grid_best_formula,expanded_grid_best_time,expanded_grid_best_cost,joint_formula_time_selection_regret,expanded_grid_joint_regret,frozen_budget_gamma_1_01,phase_estimation_error_gamma_1_01_hartree,energy_margin_gamma_1_01_hartree,success_gamma_1_01
N2_active_eq_sto3g,primary,practical_baseline,current_m3,0.5983202971910435,298110124.44559836,3.0348397151007198e-05,0,-2.1708888669736095e-05,2.1708888669736095e-05,279399598.0082803,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.02133754522155451,0.02133754522155451,301091225.69005436,1.1176748655151356e-05,0.00012647437287415254,True
N2_active_eq_sto3g,primary,fixed_current_m3,current_m3,0.5983202971910435,298110124.44559836,3.0348397151007198e-05,0,-2.1708888669736095e-05,2.1708888669736095e-05,279399598.0082803,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.02133754522155451,0.02133754522155451,301091225.69005436,1.1176748655151356e-05,0.00012647437287415254,True
N2_active_eq_sto3g,primary,fixed_yoshida4,yoshida4,0.14818867651236942,527326281.8872622,3.1964080343773546e-05,0,-3.061937791078128e-05,3.061937791078128e-05,521818332.13098913,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.9074925597225654,0.9074925597225654,532599544.70613486,1.103677610132259e-05,0.00011770385618693612,True
N2_active_eq_sto3g,primary,diagnostic_record_only,current_m3,0.5983202971910435,298110124.44559836,3.0348397151007198e-05,8,-2.1708888669736095e-05,2.1708888669736095e-05,279399598.0082803,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.02133754522155451,0.02133754522155451,301091225.69005436,1.1176748655151356e-05,0.00012647437287415254,True
N2_active_eq_sto3g,primary,universal_fallback,current_m3,0.31317471718976364,467145656.97218615,2.070319806227094e-06,0,-1.6661441564534198e-06,1.6661441564534198e-06,465948344.07610506,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.7032613551742977,0.7032613551742977,471817113.541908,1.3626582088486268e-05,0.0001440672839541003,True
N2_active_eq_sto3g,primary,state_targeted_fallback,current_m3,0.5983202971910435,298110124.44559836,3.0348397151007198e-05,8,-2.1708888669736095e-05,2.1708888669736095e-05,279399598.0082803,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.02133754522155451,0.02133754522155451,301091225.69005436,1.1176748655151356e-05,0.00012647437287415254,True
N2_active_eq_sto3g,primary,equal_cost_extra_points,current_m3,0.6049909186671855,295727762.8145284,3.07430285107533e-05,8,-2.2676905385616652e-05,2.2676905385616652e-05,278275887.1811844,current_m3,0.6625313450512949,273562446.926076,current_m3,0.6625313450512949,273562446.926076,0.017229851202428037,0.017229851202428037,298685040.4426737,1.1142560294777315e-05,0.00012554054451864604,True
N2_active_stretch150_sto3g,primary,practical_baseline,current_m3,0.8303584711475099,208603332.59679866,2.8064634326220847e-05,0,-8.568591745727244e-06,8.568591745727244e-06,181632703.25691193,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.22759988252141805,0.22759988252141805,210689365.92276666,1.1374599394922454e-05,0.00013941681905839032,True
N2_active_stretch150_sto3g,primary,fixed_current_m3,current_m3,0.8303584711475099,208603332.59679866,2.8064634326220847e-05,0,-8.568591745727244e-06,8.568591745727244e-06,181632703.25691193,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.22759988252141805,0.22759988252141805,210689365.92276666,1.1374599394922454e-05,0.00013941681905839032,True
N2_active_stretch150_sto3g,primary,fixed_yoshida4,yoshida4,0.2507535059346314,308706359.01382095,3.224333972894146e-05,0,-2.643135265899655e-05,2.643135265899655e-05,295208913.0890578,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.9952267434725415,0.9952267434725415,311793422.60395914,1.1012582837756062e-05,0.00012191607470228738,True
N2_active_stretch150_sto3g,primary,diagnostic_record_only,current_m3,0.8303584711475099,208603332.59679866,2.8064634326220847e-05,8,-8.568591745727244e-06,8.568591745727244e-06,181632703.25691193,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.22759988252141805,0.22759988252141805,210689365.92276666,1.1374599394922454e-05,0.00013941681905839032,True
N2_active_stretch150_sto3g,primary,universal_fallback,current_m3,0.4754414378170683,304616346.6069018,2.328770968806021e-06,0,-9.442286161720209e-07,9.442286161720209e-07,301954022.00156397,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,1.0408148713818344,1.0408148713818344,307662510.07297087,1.3604191517470765e-05,0.00014481159006539724,True
N2_active_stretch150_sto3g,primary,state_targeted_fallback,current_m3,0.8303584711475099,208603332.59679866,2.8064634326220847e-05,8,-8.568591745727244e-06,8.568591745727244e-06,181632703.25691193,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.22759988252141805,0.22759988252141805,210689365.92276666,1.1374599394922454e-05,0.00013941681905839032,True
N2_active_stretch150_sto3g,primary,equal_cost_extra_points,current_m3,0.850945085404989,204653602.80348065,2.8768373518862256e-05,8,-9.432357659421928e-06,9.432357659421928e-06,178259637.16425994,current_m3,1.2408164760332248,147957576.27790663,current_m3,1.2408164760332248,147957576.27790663,0.2048023605728535,0.2048023605728535,206700138.83151546,1.1313631890609461e-05,0.0001386140206490086,True
CO_active_eq_sto3g,primary,practical_baseline,current_m3,0.6127481451622522,573237653.784658,2.97567078775186e-05,0,-1.998541374786822e-05,1.998541374786822e-05,533049026.4168082,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.031842958597858795,0.031842958597858795,578970030.3225045,1.1228008864488242e-05,0.00012814658758668354,True
CO_active_eq_sto3g,primary,fixed_current_m3,current_m3,0.6127481451622522,573237653.784658,2.97567078775186e-05,0,-1.998541374786822e-05,1.998541374786822e-05,533049026.4168082,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.031842958597858795,0.031842958597858795,578970030.3225045,1.1228008864488242e-05,0.00012814658758668354,True
CO_active_eq_sto3g,primary,fixed_yoshida4,yoshida4,0.1548170562148919,993463733.0374541,3.1905224244403225e-05,0,-3.056082231196442e-05,3.056082231196442e-05,983093989.3735855,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.9030118437582915,0.9030118437582915,1003398370.3678287,1.1041875020822492e-05,0.00011775731286625312,True
CO_active_eq_sto3g,primary,diagnostic_record_only,current_m3,0.6127481451622522,573237653.784658,2.97567078775186e-05,8,-1.998541374786822e-05,1.998541374786822e-05,533049026.4168082,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.031842958597858795,0.031842958597858795,578970030.3225045,1.1228008864488242e-05,0.00012814658758668354,True
CO_active_eq_sto3g,primary,universal_fallback,current_m3,0.3273402132390898,884418153.6549133,2.1153981679242776e-06,0,-1.6629290885503798e-06,1.6629290885503798e-06,881880555.2101748,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.7070892096639163,0.7070892096639163,893262335.1914624,1.362267678487389e-05,0.00014407440432561574,True
CO_active_eq_sto3g,primary,state_targeted_fallback,current_m3,0.6127481451622522,573237653.784658,2.97567078775186e-05,8,-1.998541374786822e-05,1.998541374786822e-05,533049026.4168082,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.031842958597858795,0.031842958597858795,578970030.3225045,1.1228008864488242e-05,0.00012814658758668354,True
CO_active_eq_sto3g,primary,equal_cost_extra_points,current_m3,0.6231575639432553,566159691.2729467,3.032844483461116e-05,8,-2.1355095299349217e-05,2.1355095299349217e-05,529346880.6113786,current_m3,0.6934555307359384,516598986.2848441,current_m3,0.6934555307359384,516598986.2848441,0.02467657634834297,0.02467657634834297,571821288.1856762,1.117847719741339e-05,0.00012682643770227739,True
CO_active_stretch150_sto3g,primary,practical_baseline,current_m3,0.8652659966787087,399939334.26033634,2.8587320950995892e-05,0,-1.519699111857161e-05,1.519699111857161e-05,362791668.8405599,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.07181964670876817,0.07181964670876817,403938727.6029397,1.1329317137825603e-05,0.0001328337019426428,True
CO_active_stretch150_sto3g,primary,fixed_current_m3,current_m3,0.8652659966787087,399939334.26033634,2.8587320950995892e-05,0,-1.519699111857161e-05,1.519699111857161e-05,362791668.8405599,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.07181964670876817,0.07181964670876817,403938727.6029397,1.1329317137825603e-05,0.0001328337019426428,True
CO_active_stretch150_sto3g,primary,fixed_yoshida4,yoshida4,0.23265001816506647,654509369.1036259,3.137818119039523e-05,0,-3.005851352474898e-05,3.005851352474898e-05,647829362.5028954,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.9139255338042953,0.9139255338042953,661054462.7946621,1.1087534691342987e-05,0.00011821396198294805,True
CO_active_stretch150_sto3g,primary,diagnostic_record_only,current_m3,0.8652659966787087,399939334.26033634,2.8587320950995892e-05,8,-1.519699111857161e-05,1.519699111857161e-05,362791668.8405599,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.07181964670876817,0.07181964670876817,403938727.6029397,1.1329317137825603e-05,0.0001328337019426428,True
CO_active_stretch150_sto3g,primary,universal_fallback,current_m3,0.48360496125570573,595572629.7579049,2.238612930368647e-06,0,-1.5160318661589063e-06,1.5160318661589063e-06,592846206.4304525,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.7514851252225914,0.7514851252225914,601528356.0554839,1.3612002238622517e-05,0.0001442319760942586,True
CO_active_stretch150_sto3g,primary,state_targeted_fallback,current_m3,0.8652659966787087,399939334.26033634,2.8587320950995892e-05,8,-1.519699111857161e-05,1.519699111857161e-05,362791668.8405599,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.07181964670876817,0.07181964670876817,403938727.6029397,1.1329317137825603e-05,0.0001328337019426428,True
CO_active_stretch150_sto3g,primary,equal_cost_extra_points,current_m3,0.8564643863838549,403181438.29454714,2.830580146524344e-05,8,-1.4599274143959654e-05,1.4599274143959654e-05,365006602.00940955,current_m3,1.0818169269343512,338482010.43392205,current_m3,1.0818169269343512,338482010.43392205,0.07836337163527207,0.07836337163527207,407213252.6774926,1.1353706202185346e-05,0.000133407029852895,True
HF_full_eq_sto3g,stress_test,practical_baseline,current_m3,0.148871685974198,463823391.8193374,1.0751001536769666e-06,0,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,468461625.7375308,1.3712801612840856e-05,0.00014364732315997545,True
HF_full_eq_sto3g,stress_test,fixed_current_m3,current_m3,0.148871685974198,463823391.8193374,1.0751001536769666e-06,0,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,468461625.7375308,1.3712801612840856e-05,0.00014364732315997545,True
HF_full_eq_sto3g,stress_test,fixed_yoshida4,yoshida4,0.03412144429266872,882135419.3915215,1.9632734016267056e-06,0,-1.963799779839093e-06,1.963799779839093e-06,882138369.5061647,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,3.0491539613263567,3.0491539613263567,890956773.5854367,1.3635855910666995e-05,0.0001437603545085339,True
HF_full_eq_sto3g,stress_test,diagnostic_record_only,current_m3,0.148871685974198,463823391.8193374,1.0751001536769666e-06,8,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,468461625.7375308,1.3712801612840856e-05,0.00014364732315997545,True
HF_full_eq_sto3g,stress_test,universal_fallback,current_m3,0.148871685974198,463823391.8193374,1.0751001536769666e-06,0,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,468461625.7375308,1.3712801612840856e-05,0.00014364732315997545,True
HF_full_eq_sto3g,stress_test,state_targeted_fallback,current_m3,0.148871685974198,463823391.8193374,1.0751001536769666e-06,8,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,468461625.7375308,1.3712801612840856e-05,0.00014364732315997545,True
HF_full_eq_sto3g,stress_test,equal_cost_extra_points,current_m3,0.148871685974198,465461565.91921616,1.6321778138396863e-06,8,-1.9998854262236836e-06,1.9998854262236836e-06,466549222.40975195,current_m3,0.31867286821641844,217857453.1696019,current_m3,0.31867286821641844,217857453.1696019,1.1415343639702962,1.1415343639702962,470116181.5784083,1.3664539934361415e-05,0.0001436955848384549,True
HF_full_stretch150_sto3g,stress_test,practical_baseline,current_m3,0.20600464713499966,334916449.94069874,9.470274280034474e-07,0,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,338265614.44010574,1.3723897022243262e-05,0.0001451220621777409,True
HF_full_stretch150_sto3g,stress_test,fixed_current_m3,current_m3,0.20600464713499966,334916449.94069874,9.470274280034474e-07,0,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,338265614.44010574,1.3723897022243262e-05,0.0001451220621777409,True
HF_full_stretch150_sto3g,stress_test,fixed_yoshida4,yoshida4,0.04722261090853548,637117069.7913278,1.8931551394997163e-06,0,-1.8950629946025817e-06,1.8950629946025817e-06,637124789.1414075,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,2.9607401127118624,2.9607401127118624,643488240.4892411,1.3641930512583939e-05,0.00014382301669185347,True
HF_full_stretch150_sto3g,stress_test,diagnostic_record_only,current_m3,0.20600464713499966,334916449.94069874,9.470274280034474e-07,8,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,338265614.44010574,1.3723897022243262e-05,0.0001451220621777409,True
HF_full_stretch150_sto3g,stress_test,universal_fallback,current_m3,0.20600464713499966,334916449.94069874,9.470274280034474e-07,0,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,338265614.44010574,1.3723897022243262e-05,0.0001451220621777409,True
HF_full_stretch150_sto3g,stress_test,state_targeted_fallback,current_m3,0.20600464713499966,334916449.94069874,9.470274280034474e-07,8,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,338265614.44010574,1.3723897022243262e-05,0.0001451220621777409,True
HF_full_stretch150_sto3g,stress_test,equal_cost_extra_points,current_m3,0.20600464713499966,336163989.64802086,1.5349145671617296e-06,8,-5.140509990558424e-07,5.140509990558424e-07,334003547.0930502,current_m3,0.42904038927151034,160860033.9862181,current_m3,0.42904038927151034,160860033.9862181,1.0763612863694059,1.0763612863694059,339525629.54450107,1.3672966205732029e-05,0.00014517299299425212,True
