condition,formula,proxy_analytic_time,proxy_alpha,cancellation_index_primary,cancellation_index_robustness,cancellation_index_ratio_0p05_over_0p1,robustness_value_used_for_selection,sentinel_signed_proxy_hartree,sentinel_signed_model_hartree,sentinel_absolute_residual_hartree,sign_noise_floor_hartree,sentinel_sign_status,fallback_cancellation,fallback_sentinel_residual,fallback_sign,fallback_triggered
N2_active_eq_sto3g,current_m3,0.6263494343795273,0.00020708211229026404,0.07381866179270509,0.07368843126242161,0.998235804779973,False,-2.0636053415920026e-06,-2.070319806227094e-06,6.7144646350915714e-09,1.5936001019904e-10,match,False,False,False,False
N2_active_eq_sto3g,yoshida4,0.14783387521186095,0.06672882831537441,0.7712847938931989,0.7712514460361783,0.9999567632380612,False,-1.9890356028139755e-06,-1.9890384062941484e-06,2.8034801729227518e-12,1.5936001019904e-10,match,False,False,False,False
N2_active_stretch150_sto3g,current_m3,0.9508828756341366,3.898533220765811e-05,0.10179374653343246,0.10119326471947086,0.9941009950570552,False,-2.3008579212736776e-06,-2.328770968806021e-06,2.7913047532343457e-08,1.5936001019904e-10,match,False,False,False,False
N2_active_stretch150_sto3g,yoshida4,0.24828308919712003,0.008387273075986657,0.35371509099745496,0.3537180671535234,1.0000084139923464,False,-1.978988996020828e-06,-1.9790078926443353e-06,1.8896623507240674e-11,1.5936001019904e-10,match,False,False,False,False
CO_active_eq_sto3g,current_m3,0.6546804264781796,0.000173496979334737,0.06376868935556626,0.06361767045697206,0.9976317703857431,False,-2.1035239378235068e-06,-2.1153981679242776e-06,1.1874230100770826e-08,1.5936001019904e-10,match,False,False,False,False
CO_active_eq_sto3g,yoshida4,0.15467784615335387,0.05567969921092546,0.5460137301252765,0.5458829752754508,0.999760528275002,False,-1.9908507885059028e-06,-1.9908531228683175e-06,2.3343624146894267e-12,1.5936001019904e-10,match,False,False,False,False
CO_active_stretch150_sto3g,current_m3,0.9672099225114115,3.6418862038898796e-05,0.0530911667767897,0.05295399401591404,0.9974162790308909,False,-2.2582500696957894e-06,-2.238612930368647e-06,1.9637139327142263e-08,1.5936001019904e-10,match,False,False,False,False
CO_active_stretch150_sto3g,yoshida4,0.23586963873378258,0.01029724810947748,0.1502133754376809,0.15012197618799505,0.9993915372088569,False,-2.0117781360608536e-06,-2.0117204536765347e-06,5.768238431898916e-11,1.5936001019904e-10,match,False,False,False,False
HF_full_eq_sto3g,current_m3,0.297743371948396,0.004055467587376819,0.0002970476512284558,0.0002940491461679998,0.9899056429227582,False,-1.5602169923548354e-06,-1.0751001536769666e-06,4.851168386778687e-07,1.5936001019904e-10,match,True,False,False,True
HF_full_eq_sto3g,yoshida4,0.06824288858533745,1.4695343399006344,0.01776584407462361,0.017771183327918896,1.0003005347380547,False,-1.9636127809033394e-06,-1.9632734016267056e-06,3.393792766337995e-10,1.5936001019904e-10,match,True,False,False,True
HF_full_stretch150_sto3g,current_m3,0.4120092942699993,0.0011060666354514917,0.00016871597347607728,0.00016548370192749504,0.9808419352241087,False,-1.742698739462925e-06,-9.470274280034474e-07,7.956713114594775e-07,1.5936001019904e-10,match,True,False,False,True
HF_full_stretch150_sto3g,yoshida4,0.09444522181707096,0.40058010935888144,0.010149213129682842,0.010155812217883572,1.0006502068797265,False,-1.8946996882103399e-06,-1.8931551394997163e-06,1.544548710623512e-09,1.5936001019904e-10,match,True,False,False,True
