condition,formula,effective_order,geometric_mean_time,left_time,right_time,roundoff_risk,sign_reversal,tau__lambda_h_sector_centered_half_width,tau__lambda_group_half_width_sum,tau__lambda_pauli_nonidentity_l1,diagnosis
active_equilibrium,joint_refine_r0_s0046,4.002112376147692,0.010606601717798213,0.0075,0.015,True,False,0.03145497357617177,0.19593425402284742,0.36210005114515365,direct_small_time_values_reach_numerical_floor
active_equilibrium,joint_refine_r0_s0046,3.9994849933891934,0.021213203435596427,0.015,0.03,False,False,0.06290994715234353,0.39186850804569484,0.7242001022903073,direct_small_time_values_reach_numerical_floor
active_equilibrium,joint_refine_r0_s0046,3.9996592768709376,0.042426406871192854,0.03,0.06,False,False,0.12581989430468707,0.7837370160913897,1.4484002045806146,direct_small_time_values_reach_numerical_floor
active_equilibrium,m5_best,3.3923174227787762,0.010606601717798213,0.0075,0.015,True,False,0.03145497357617177,0.19593425402284742,0.36210005114515365,direct_small_time_values_reach_numerical_floor
active_equilibrium,m5_best,3.9960586973004286,0.021213203435596427,0.015,0.03,True,False,0.06290994715234353,0.39186850804569484,0.7242001022903073,direct_small_time_values_reach_numerical_floor
active_equilibrium,m5_best,4.007849564939303,0.042426406871192854,0.03,0.06,True,False,0.12581989430468707,0.7837370160913897,1.4484002045806146,direct_small_time_values_reach_numerical_floor
active_equilibrium,paper_new4,3.9139324401731352,0.010606601717798213,0.0075,0.015,True,False,0.03145497357617177,0.19593425402284742,0.36210005114515365,direct_small_time_values_reach_numerical_floor
active_equilibrium,paper_new4,4.002583161014004,0.021213203435596427,0.015,0.03,True,False,0.06290994715234353,0.39186850804569484,0.7242001022903073,direct_small_time_values_reach_numerical_floor
active_equilibrium,paper_new4,3.999876734808372,0.042426406871192854,0.03,0.06,False,False,0.12581989430468707,0.7837370160913897,1.4484002045806146,direct_small_time_values_reach_numerical_floor
active_equilibrium,two_term_center,4.059482424030492,0.010606601717798213,0.0075,0.015,True,False,0.03145497357617177,0.19593425402284742,0.36210005114515365,direct_small_time_values_reach_numerical_floor
active_equilibrium,two_term_center,3.9974593626188644,0.021213203435596427,0.015,0.03,True,False,0.06290994715234353,0.39186850804569484,0.7242001022903073,direct_small_time_values_reach_numerical_floor
active_equilibrium,two_term_center,4.000106525056654,0.042426406871192854,0.03,0.06,False,False,0.12581989430468707,0.7837370160913897,1.4484002045806146,direct_small_time_values_reach_numerical_floor
