condition,evaluation_group,formula,rotations,proxy_analytic_time,original_relative_time_min,original_relative_time_max,original_time_min,original_time_max,fallback_triggered,fallback_reasons,allowed_relative_time_max,allowed_time_cap,formula_optimum_relative_time,formula_optimum_time,formula_optimum_predicted_error_hartree,formula_optimum_predicted_cost,at_optimization_boundary,eligible,selected_formula,condition_selection_reason
N2_active_eq_sto3g,primary,current_m3,19176,0.6263494343795273,0.05,1.8,0.031317471718976364,1.127428981883149,false,none,1.8,1.127428981883149,0.95525,0.5983202971910435,3.0348397151007198e-05,298110124.44559836,false,true,true,minimum_predicted_cost_among_proxy_feasible_pfs
N2_active_eq_sto3g,primary,yoshida4,8296,0.14783387521186095,0.05,1.8,0.007391693760593048,0.2661009753813497,false,none,1.8,0.2661009753813497,1.0024,0.14818867651236942,3.1964080343773546e-05,527326281.8872622,false,true,false,
N2_active_stretch150_sto3g,primary,current_m3,18952,0.9508828756341366,0.05,1.8,0.047544143781706835,1.711589176141446,false,none,1.8,1.711589176141446,0.8732500000000001,0.8303584711475099,2.8064634326220847e-05,208603332.59679866,false,true,true,minimum_predicted_cost_among_proxy_feasible_pfs
N2_active_stretch150_sto3g,primary,yoshida4,8200,0.24828308919712003,0.05,1.8,0.012414154459856002,0.44690956055481607,false,none,1.8,0.44690956055481607,1.0099500000000001,0.2507535059346314,3.224333972894146e-05,308706359.01382095,false,true,false,
CO_active_eq_sto3g,primary,current_m3,37936,0.6546804264781796,0.05,1.8,0.03273402132390898,1.1784247676607233,false,none,1.8,1.1784247676607233,0.9359500000000001,0.6127481451622522,2.97567078775186e-05,573237653.784658,false,true,true,minimum_predicted_cost_among_proxy_feasible_pfs
CO_active_eq_sto3g,primary,yoshida4,16336,0.15467784615335387,0.05,1.8,0.007733892307667693,0.278420123076037,false,none,1.8,0.278420123076037,1.0009000000000001,0.1548170562148919,3.1905224244403225e-05,993463733.0374541,false,true,false,
CO_active_stretch150_sto3g,primary,current_m3,37712,0.9672099225114115,0.05,1.8,0.04836049612557058,1.7409778605205406,false,none,1.8,1.7409778605205406,0.8946000000000001,0.8652659966787087,2.8587320950995892e-05,399939334.26033634,false,true,true,minimum_predicted_cost_among_proxy_feasible_pfs
CO_active_stretch150_sto3g,primary,yoshida4,16240,0.23586963873378258,0.05,1.8,0.01179348193668913,0.42456534972080867,false,none,1.8,0.42456534972080867,0.9863500000000001,0.23265001816506647,3.137818119039523e-05,654509369.1036259,false,true,false,
HF_full_eq_sto3g,stress_test,current_m3,9108,0.297743371948396,0.05,1.8,0.0148871685974198,0.5359380695071129,true,cancellation,0.5,0.148871685974198,0.5,0.148871685974198,1.0751001536769666e-06,463823391.8193374,true,true,true,minimum_predicted_cost_among_proxy_feasible_pfs
HF_full_eq_sto3g,stress_test,yoshida4,3948,0.06824288858533745,0.05,1.8,0.0034121444292668727,0.12283719945360741,true,cancellation,0.5,0.03412144429266872,0.5,0.03412144429266872,1.9632734016267056e-06,882135419.3915215,true,true,false,
HF_full_stretch150_sto3g,stress_test,current_m3,9108,0.4120092942699993,0.05,1.8,0.020600464713499966,0.7416167296859988,true,cancellation,0.5,0.20600464713499966,0.5,0.20600464713499966,9.470274280034474e-07,334916449.94069874,true,true,true,minimum_predicted_cost_among_proxy_feasible_pfs
HF_full_stretch150_sto3g,stress_test,yoshida4,3948,0.09444522181707096,0.05,1.8,0.004722261090853549,0.17000139927072774,true,cancellation,0.5,0.04722261090853548,0.5,0.04722261090853548,1.8931551394997163e-06,637117069.7913278,true,true,false,
